Participant_ID,Age,Gender,Sport_Type,Experience_Years,Training_Method,Adaptation_Type,Session_Count,Session_Duration_Min,Training_Period_Weeks,Intervention_Intensity_Level,Intrinsic_Motivation,Extrinsic_Motivation,Anxiety_Level,Stress_Coping_Ability,Resilience_Index,Self_Confidence_Score,Performance_Score,Training_Adherence_Rate,Post_Session_Satisfaction_Score,Motivation_Gain,Confidence_Gain,Stress_Reduction_Percentage,Adaptation_Effectiveness_Score
1,24,Female,Basketball,7,Cognitive Restructuring,Coach-adjusted,5,69,9,Low,81,89,61,84,52,71,83,79,64,9.22,7.4,17.55,18.64607349
2,32,Female,Football,9,Self-talk,Feedback-based,5,62,6,High,50,84,25,52,65,86,77,83,96,11.44,3.55,11.7,15.37626014
3,28,Female,Tennis,7,Visualization,AI-guided,16,38,7,Medium,54,50,78,89,72,88,80,64,71,7.04,2.2,7.79,16.09955988
4,25,Male,Football,1,Mindfulness,AI-guided,16,72,8,Medium,94,68,21,67,60,50,57,93,63,2.79,19.81,20.88,12.08635297
5,24,Female,Tennis,1,Goal-setting,Coach-adjusted,18,83,4,Medium,53,75,34,97,61,60,88,65,75,4.97,7.12,17.4,8.411185539
6,28,Male,Basketball,9,Goal-setting,AI-guided,17,77,11,Low,65,64,61,59,59,65,75,61,77,6.08,16.39,15.67,9.70263924
7,28,Female,Football,9,Self-talk,Feedback-based,18,68,8,Low,73,60,62,67,81,64,83,72,72,10.04,5.84,22.88,11.42717474
8,21,Female,Athletics,4,Mindfulness,Coach-adjusted,9,58,7,Low,65,75,32,47,65,61,52,70,63,8.99,13.95,20.77,13.66257456
9,25,Male,Swimming,9,Cognitive Restructuring,Feedback-based,10,71,7,Low,51,49,25,80,57,98,99,82,73,5.99,15.44,8.03,7.882606111
10,20,Female,Tennis,3,Mindfulness,Feedback-based,7,84,7,Low,98,76,66,78,87,66,61,75,51,14.81,12.32,11.23,17.90865096
11,19,Male,Swimming,7,Self-talk,AI-guided,16,55,8,High,77,48,48,40,61,88,50,90,94,9.48,9.96,9.97,11.9059763
12,29,Female,Swimming,6,Self-talk,AI-guided,13,64,10,High,81,63,62,42,73,52,93,70,75,4.32,8.82,19.88,8.89935679
13,23,Female,Football,8,Mindfulness,AI-guided,9,79,7,Low,76,74,51,52,77,72,54,75,63,2.42,7.63,5.67,8.463686874
14,19,Male,Swimming,9,Self-talk,AI-guided,12,54,9,Medium,69,88,67,67,57,73,79,67,56,3.14,18.66,16.4,6.115429984
15,18,Female,Athletics,5,Mindfulness,AI-guided,17,53,8,Low,73,74,48,96,77,80,79,63,52,4.44,16.78,20.25,15.44951175
16,29,Male,Swimming,1,Visualization,Coach-adjusted,5,42,11,High,61,87,23,99,85,74,66,99,96,3.25,19.34,22.54,14.2999539
17,29,Female,Football,3,Mindfulness,Feedback-based,18,89,7,High,99,75,14,88,75,40,97,63,72,3.61,3.36,11.84,9.430117301
18,34,Male,Athletics,8,Mindfulness,Feedback-based,9,87,9,Medium,84,57,44,64,57,60,96,84,95,4.99,14.89,21.43,8.594763684
19,27,Male,Basketball,6,Self-talk,Feedback-based,19,36,10,High,82,88,27,95,99,87,72,62,92,3.43,18.83,7.21,13.1326459
20,33,Female,Swimming,8,Self-talk,Feedback-based,7,86,6,Low,82,78,18,72,77,94,64,91,96,13.55,4.44,21.93,19.84706458
21,32,Female,Football,9,Goal-setting,AI-guided,16,65,10,Medium,92,71,67,77,77,45,86,62,94,2.12,2.26,7.55,10.76122595
22,32,Male,Basketball,4,Goal-setting,Feedback-based,5,74,11,Low,86,63,26,92,86,67,70,86,67,8.34,15.08,12.95,9.930571141
23,29,Female,Basketball,1,Visualization,Coach-adjusted,8,49,7,Low,61,62,16,45,90,56,63,88,87,6.75,11.91,20.95,10.16277081
24,20,Female,Tennis,1,Goal-setting,Coach-adjusted,19,30,11,Medium,52,71,55,97,85,44,51,91,84,14.75,16.99,8,10.48182929
25,22,Female,Athletics,4,Mindfulness,Feedback-based,17,37,8,Low,50,76,22,83,76,70,60,78,64,2.57,3.66,9.59,3.709340071
26,24,Male,Swimming,7,Self-talk,Feedback-based,9,75,5,High,82,51,49,84,66,44,88,80,74,6.57,16.11,19.45,12.0971154
27,26,Male,Football,2,Goal-setting,Coach-adjusted,11,45,7,Low,89,88,51,71,58,77,87,64,86,14.57,4.83,19.4,12.10719641
28,24,Male,Tennis,3,Goal-setting,Coach-adjusted,5,43,5,Medium,59,52,18,84,82,42,83,77,77,13.12,4.11,17.82,13.38861909
29,21,Male,Athletics,1,Visualization,AI-guided,7,41,9,Medium,92,62,59,86,69,92,87,87,59,12.44,4.12,18.88,20.48686828
30,31,Male,Tennis,5,Visualization,Coach-adjusted,6,80,6,Medium,93,64,36,60,62,62,99,81,88,4.61,16.48,15.85,16.35969509
31,26,Male,Athletics,1,Mindfulness,AI-guided,13,52,4,Low,78,74,75,55,77,76,83,80,66,3.39,13.64,10.04,10.81333393
32,19,Male,Athletics,8,Self-talk,AI-guided,14,44,11,Medium,62,80,14,93,97,92,67,65,88,10.36,10.94,11.91,10.12042227
33,32,Male,Swimming,1,Visualization,AI-guided,19,57,10,Medium,61,69,38,60,78,76,79,60,71,14.01,7.82,8.63,18.46007941
34,24,Male,Athletics,1,Goal-setting,AI-guided,10,63,6,Low,80,56,46,50,62,49,64,64,75,8.79,17.67,23.17,10.5776553
35,29,Female,Tennis,2,Self-talk,AI-guided,14,31,7,High,95,88,47,99,95,49,76,71,93,9,8.46,16.67,13.56178788
36,25,Male,Athletics,2,Self-talk,Feedback-based,7,61,5,Low,51,59,17,76,84,58,83,85,74,4.92,16.52,13.02,11.40762474
37,32,Female,Swimming,6,Goal-setting,Coach-adjusted,12,52,10,Medium,99,87,74,75,55,56,87,93,66,11.77,9.34,14.24,14.01425428
38,20,Female,Swimming,7,Visualization,AI-guided,18,51,5,Medium,84,64,26,74,67,60,82,73,62,3.62,8.16,23.95,12.36691876
39,31,Female,Tennis,5,Goal-setting,Coach-adjusted,12,80,8,Low,72,61,54,58,54,53,73,85,69,5.53,9.79,8.07,9.359013979
40,34,Male,Basketball,1,Self-talk,Coach-adjusted,6,54,5,High,66,52,13,59,96,48,64,86,74,6.96,6.73,16.72,9.779423176
41,21,Male,Basketball,1,Cognitive Restructuring,AI-guided,19,87,8,Medium,75,58,45,96,74,85,79,68,53,8.11,15.2,15.12,13.46174019
